"","x"
"densityBlades",0.257388239514319
"wetWgtPlot",0.495087845248089
"dryWgtPerM",0.425740164077954
"percDryWgt",1.00041981822728e-09
"bladeLength",0.0049715210616798
"bladeMaxWidth",0.104787354991937
"bladeThickness",0.439212463127993
"stipeLength",0.228240811617986
"stipeDiameter",0.500224038413379
