Bin,fraction of sites
456,0.065034
457,0.065915
458,0.066608
459,0.068311
460,0.065242
461,0.066004
462,0.066202
463,0.066242
464,0.065885
465,0.066539
466,0.066717
467,0.067004
468,0.067568
469,0.068944
470,0.066321
471,0.06646
472,0.0674
473,0.067925
474,0.067103
475,0.068479
476,0.068539
477,0.07042
478,0.068172
479,0.069331
480,0.069548
481,0.0684
482,0.069915
483,0.067915
484,0.068271
485,0.070123
486,0.071241
487,0.069172
488,0.071449
489,0.070756
490,0.070954
491,0.070806
492,0.070449
493,0.071855
494,0.071093
495,0.072984
496,0.071509
497,0.074786
498,0.074647
499,0.072924
500,0.072647
501,0.069954
502,0.069826
503,0.070786
504,0.069865
505,0.072182
506,0.071538
507,0.072231
508,0.072479
509,0.072627
510,0.072924
511,0.073994
512,0.074023
513,0.073538
514,0.073043
515,0.072865
516,0.073607
517,0.074904
518,0.072974
519,0.072509
520,0.074974
521,0.07433
522,0.073904
523,0.075855
524,0.075904
525,0.07637
526,0.078191
527,0.075657
528,0.076667
529,0.076805
530,0.075696
531,0.076924
532,0.077973
533,0.077092
534,0.078656
535,0.078023
536,0.079567
537,0.077963
538,0.078924
539,0.079013
540,0.079102
541,0.081953
542,0.080092
543,0.082072
544,0.082131
545,0.082369
546,0.083191
547,0.082933
548,0.083547
549,0.082785
550,0.084547
551,0.082785
552,0.084171
553,0.08427
554,0.084072
555,0.085418
556,0.085983
557,0.08523
558,0.086309
559,0.086161
560,0.087943
561,0.087606
562,0.088151
563,0.087953
564,0.088774
565,0.087547
566,0.089646
567,0.090527
568,0.091299
569,0.091329
570,0.091863
571,0.092556
572,0.091952
573,0.093299
574,0.094081
575,0.092942
576,0.095853
577,0.094576
578,0.095507
579,0.095417
580,0.096417
581,0.096932
582,0.099288
583,0.098962
584,0.1001
585,0.097239
586,0.100724
587,0.101615
588,0.101922
589,0.103308
590,0.10413
591,0.103882
592,0.105882
593,0.107357
594,0.108367
595,0.108238
596,0.108891
597,0.108733
598,0.110971
599,0.111505
600,0.110862
601,0.110584
602,0.114228
603,0.114742
604,0.113277
605,0.113218
606,0.116693
607,0.118089
608,0.11898
609,0.119504
610,0.119623
611,0.122247
612,0.124336
613,0.123059
614,0.124979
615,0.128306
616,0.127385
617,0.130167
618,0.130711
619,0.12984
620,0.132879
621,0.133503
622,0.136077
623,0.134028
624,0.138117
625,0.140235
626,0.142097
627,0.143413
628,0.142275
629,0.147116
630,0.148304
631,0.148452
632,0.15167
633,0.153789
634,0.15262
635,0.157244
636,0.159244
637,0.160036
638,0.165778
639,0.165372
640,0.167797
641,0.169708
642,0.172242
643,0.17344
644,0.17542
645,0.177697
646,0.179964
647,0.183519
648,0.184984
649,0.186182
650,0.189568
651,0.191033
652,0.195993
653,0.199626
654,0.200458
655,0.200775
656,0.203943
657,0.205774
658,0.210457
659,0.21209
660,0.215219
661,0.215763
662,0.218872
663,0.220713
664,0.222674
665,0.229505
666,0.225564
667,0.231287
668,0.234979
669,0.236286
670,0.239217
671,0.241167
672,0.243464
673,0.247256
674,0.249958
675,0.254869
676,0.254948
677,0.256542
678,0.259116
679,0.262274
680,0.261868
681,0.269967
682,0.270699
683,0.271986
684,0.27358
685,0.277619
686,0.277936
687,0.279085
688,0.28155
689,0.283401
690,0.286064
691,0.288915
692,0.28844
693,0.293004
694,0.291539
695,0.295261
696,0.295024
697,0.296212
698,0.298004
699,0.300182
700,0.303459
701,0.299815
702,0.301924
703,0.305825
704,0.306656
705,0.305864
706,0.306825
707,0.306973
708,0.307082
709,0.309706
710,0.310181
711,0.311616
712,0.309735
713,0.309725
714,0.310418
715,0.308735
716,0.309805
717,0.312092
718,0.311616
719,0.31125
720,0.312359
721,0.308666
722,0.310389
723,0.306132
724,0.30932
725,0.307023
726,0.30132
727,0.306468
728,0.304488
729,0.300736
730,0.302637
731,0.298677
732,0.295578
733,0.295707
734,0.291965
735,0.294747
736,0.291351
737,0.286569
738,0.28647
739,0.287569
740,0.285787
741,0.284292
742,0.280253
743,0.280817
744,0.276352
745,0.273907
746,0.271471
747,0.269036
748,0.263185
749,0.263007
750,0.260245
751,0.257819
752,0.253275
753,0.253829
754,0.253532
755,0.250018
756,0.246533
757,0.24187
758,0.242296
759,0.239128
760,0.231584
761,0.233999
762,0.227772
763,0.228861
764,0.226485
765,0.220773
766,0.220129
767,0.2181
768,0.212952
769,0.209893
770,0.209041
771,0.207071
772,0.203368
773,0.200854
774,0.199408
775,0.19433
776,0.192439
777,0.189587
778,0.188152
779,0.186796
780,0.181489
781,0.179192
782,0.177153
783,0.17648
784,0.169757
785,0.168124
786,0.167768
787,0.164075
788,0.162402
789,0.158996
790,0.155293
791,0.155115
792,0.151145
793,0.150522
794,0.144443
795,0.146235
796,0.143285
797,0.140661
798,0.137988
799,0.135859
800,0.13183
801,0.132167
802,0.128325
803,0.127227
804,0.125761
805,0.124563
806,0.122663
807,0.120118
808,0.119782
809,0.113327
810,0.117495
811,0.113406
812,0.111337
813,0.110396
814,0.107456
815,0.105446
816,0.104516
817,0.101605
818,0.102377
819,0.099269
820,0.095903
821,0.09617
822,0.095794
823,0.09518
824,0.094972
825,0.092239
826,0.089893
827,0.0882
828,0.085626
829,0.086161
830,0.084022
831,0.083616
832,0.08324
833,0.081686
834,0.079062
835,0.079597
836,0.078458
837,0.075449
838,0.075686
839,0.075112
840,0.073023
841,0.071736
842,0.071281
843,0.070519
844,0.069034
845,0.067836
846,0.066925
847,0.068479
848,0.066113
849,0.064717
850,0.064282
851,0.063569
852,0.062747
853,0.060737
854,0.061549
855,0.059718
856,0.05946
857,0.058421
858,0.057846
859,0.058539
860,0.057688
861,0.054975
862,0.056678
863,0.055837
864,0.055154
865,0.055084
866,0.053421
867,0.053362
868,0.052302
869,0.052718
870,0.050639
871,0.050847
872,0.050243
873,0.050025
874,0.049253
875,0.048362
876,0.046511
877,0.048728
878,0.047828
879,0.046333
880,0.046996
881,0.04654
882,0.044966
883,0.045164
884,0.045739
885,0.045283
886,0.043778
887,0.043818
888,0.04359
889,0.042897
890,0.042907
891,0.042491
892,0.040947
893,0.041521
894,0.041957
895,0.041125
896,0.040987
897,0.03965
898,0.040591
899,0.040244
900,0.038205
901,0.039977
902,0.038214
903,0.038769
904,0.036927
905,0.03869
906,0.03869
907,0.038412
908,0.037719
909,0.036621
910,0.036007
911,0.03571
912,0.036205
913,0.035809
914,0.036274
915,0.0357
916,0.035324
917,0.035106
918,0.033977
919,0.034235
920,0.033611
921,0.033651
922,0.033383
923,0.034185
924,0.032611
925,0.033146
926,0.031888
927,0.033522
928,0.032373
929,0.031968
930,0.031938
931,0.032047
932,0.031611
933,0.030779
934,0.031334
935,0.031284
936,0.031294
937,0.031373
938,0.030423
939,0.029423
940,0.02975
941,0.030463
942,0.029572
943,0.0307
944,0.029304
945,0.029958
946,0.028265
947,0.028552
948,0.029285
949,0.027958
950,0.028681
951,0.028007
952,0.028087
953,0.029007
954,0.027899
955,0.027968
956,0.027384
957,0.026938
958,0.02675
959,0.027918
960,0.027413
961,0.025523
962,0.026087
963,0.025305
964,0.026552
965,0.026146
966,0.026225
967,0.025978
968,0.026245
969,0.025196
970,0.025087
971,0.025028
972,0.024899
973,0.026027
974,0.024483
975,0.025136
976,0.025681
977,0.024275
978,0.023859
979,0.025166
980,0.024453
981,0.023602
982,0.023661
983,0.023869
984,0.0238
985,0.024325
986,0.023335
987,0.023196
988,0.023622
989,0.023008
990,0.02379
991,0.023473
992,0.02278
993,0.02377
994,0.022483
995,0.022305
996,0.022701
997,0.022097
998,0.021671
999,0.021285
1000,0.021077
1001,0.021394
1002,0.021355
1003,0.021067
1004,0.021315
1005,0.021543
1006,0.021117
1007,0.020533
1008,0.01986
1009,0.020038
1010,0.020533
1011,0.020671
1012,0.020018
1013,0.020077
1014,0.020384
1015,0.01982
1016,0.019543
1017,0.019959
1018,0.019771
1019,0.019533
1020,0.019236
1021,0.019117
1022,0.018701
1023,0.019959
1024,0.018998
1025,0.019157
1026,0.019206
1027,0.019246
1028,0.019048
1029,0.018949
1030,0.01884
1031,0.018286
1032,0.018484
1033,0.019117
1034,0.018078
1035,0.018365
1036,0.018543
1037,0.018553
1038,0.018771
1039,0.018256
1040,0.017721
1041,0.017979
1042,0.017503
1043,0.017701
1044,0.017226
1045,0.017969
1046,0.017197
1047,0.017117
1048,0.017167
1049,0.01681
1050,0.016939
1051,0.017692
1052,0.017216
1053,0.017157
1054,0.01683
1055,0.016306
1056,0.016018
1057,0.016484
1058,0.016325
1059,0.016117
1060,0.016632
1061,0.016711
1062,0.016246
1063,0.016286
1064,0.016761
1065,0.01687
1066,0.016682
1067,0.016593
1068,0.015989
1069,0.015167
1070,0.015929
1071,0.015355
1072,0.015236
1073,0.015771
1074,0.015721
1075,0.015939
1076,0.015018
1077,0.015949
1078,0.015979
1079,0.015424
1080,0.015741
1081,0.014761
1082,0.01583
1083,0.015197
1084,0.015286
1085,0.014771
1086,0.014217
1087,0.014177
1088,0.015098
1089,0.01488
1090,0.015207
1091,0.01489
1092,0.014444
1093,0.014286
1094,0.015177
1095,0.014811
1096,0.014009
1097,0.0139
1098,0.013821
1099,0.014632
1100,0.014256
1101,0.013989
1102,0.013811
1103,0.014365
1104,0.013553
1105,0.014266
1106,0.013682
1107,0.013583
1108,0.01386
1109,0.01383
1110,0.01385
1111,0.013217
1112,0.014088
1113,0.013989
1114,0.013959
1115,0.013058
1116,0.013623
1117,0.013157
1118,0.013296
1119,0.013692
1120,0.013405
1121,0.013345
1122,0.01392
1123,0.013088
1124,0.013692
1125,0.012771
1126,0.012583
1127,0.012553
1128,0.012949
1129,0.013118
1130,0.013009
1131,0.012702
1132,0.012415
1133,0.013167
1134,0.012484
1135,0.012415
1136,0.0129
1137,0.012712
1138,0.012454
1139,0.012217
1140,0.01194
1141,0.012108
1142,0.011841
1143,0.011652
1144,0.011484
1145,0.012751
1146,0.012147
1147,0.012167
1148,0.011692
1149,0.012058
1150,0.011801
1151,0.012108
1152,0.011682
1153,0.01188
1154,0.01185
1155,0.012108
1156,0.011751
1157,0.011484
1158,0.011504
1159,0.011177
1160,0.011296
1161,0.010969
1162,0.011108
1163,0.012147
1164,0.011544
1165,0.011454
1166,0.011682
1167,0.011553
1168,0.011375
1169,0.011771
1170,0.011068
1171,0.011247
1172,0.011098
1173,0.011118
1174,0.011078
1175,0.010633
1176,0.010534
1177,0.010781
1178,0.010583
1179,0.010534
1180,0.010435
1181,0.010791
1182,0.011187
1183,0.011009
1184,0.010692
1185,0.011108
1186,0.011237
1187,0.010484
1188,0.01091
1189,0.010801
1190,0.010514
1191,0.011068
1192,0.010524
1193,0.010148
1194,0.010118
1195,0.010177
1196,0.010732
1197,0.010217
1198,0.010227
1199,0.010455
1200,0.010098
1201,0.009752
1202,0.009821
1203,0.009692
1204,0.009138
1205,0.009445
1206,0.00988
1207,0.010138
1208,0.009474
1209,0.009375
1210,0.009841
1211,0.009474
1212,0.009524
1213,0.009663
1214,0.009524
1215,0.009742
1216,0.009168
1217,0.00892
1218,0.010108
1219,0.009237
1220,0.009187
1221,0.009168
1222,0.009118
1223,0.009375
1224,0.009148
1225,0.009029
1226,0.008999
1227,0.009098
1228,0.008841
1229,0.009158
1230,0.00895
1231,0.00891
1232,0.008762
1233,0.008385
1234,0.008455
1235,0.008781
1236,0.008425
1237,0.008356
1238,0.00798
1239,0.008405
1240,0.008455
1241,0.008871
1242,0.008296
1243,0.008118
1244,0.008583
1245,0.007791
1246,0.00897
1247,0.008286
1248,0.008277
1249,0.008405
1250,0.008059
1251,0.008336
1252,0.008336
1253,0.008019
1254,0.008168
1255,0.008336
1256,0.008088
1257,0.008178
1258,0.008009
1259,0.007851
1260,0.00794
1261,0.007445
1262,0.00792
1263,0.00795
1264,0.007682
1265,0.007762
1266,0.007494
1267,0.007653
1268,0.007732
1269,0.008079
1270,0.007742
1271,0.008336
1272,0.007811
1273,0.0079
1274,0.007722
1275,0.007286
1276,0.007524
1277,0.007514
1278,0.007356
1279,0.007395
1280,0.007366
1281,0.007475
1282,0.007405
1283,0.007663
1284,0.007663
1285,0.007059
1286,0.007534
1287,0.007534
1288,0.007296
1289,0.006801
1290,0.007296
1291,0.007385
1292,0.00694
1293,0.007108
1294,0.007039
1295,0.007148
1296,0.007227
1297,0.007049
1298,0.006613
1299,0.007574
1300,0.007029
1301,0.007128
1302,0.006574
1303,0.006841
1304,0.006811
1305,0.006989
1306,0.006989
1307,0.006633
1308,0.006673
1309,0.006643
1310,0.006544
1311,0.006989
1312,0.007197
1313,0.006702
1314,0.007088
1315,0.006772
1316,0.006643
1317,0.006702
1318,0.006395
1319,0.006168
1320,0.006475
1321,0.006217
1322,0.006475
1323,0.006782
1324,0.006544
1325,0.006584
1326,0.005831
1327,0.006306
1328,0.006188
1329,0.006217
1330,0.006019
1331,0.006138
1332,0.006247
1333,0.006098
1334,0.00595
1335,0.006108
1336,0.006435
1337,0.006217
1338,0.006039
1339,0.005752
1340,0.005801
1341,0.006633
1342,0.005455
1343,0.005485
1344,0.005782
1345,0.0059
1346,0.006079
1347,0.005821
1348,0.005366
1349,0.0059
1350,0.005673
1351,0.005534
1352,0.005762
1353,0.005683
1354,0.005435
1355,0.005514
1356,0.005693
1357,0.005217
1358,0.006029
1359,0.006277
1360,0.006188
1361,0.005544
1362,0.005653
1363,0.006138
1364,0.005861
1365,0.005306
1366,0.005613
1367,0.005712
1368,0.005475
1369,0.005485
1370,0.005475
1371,0.005198
1372,0.005396
1373,0.005881
1374,0.005524
1375,0.005247
1376,0.005841
1377,0.005366
1378,0.005643
1379,0.005693
1380,0.005178
1381,0.005504
1382,0.005415
1383,0.005089
1384,0.00498
1385,0.005504
1386,0.005316
1387,0.005267
1388,0.005069
1389,0.005207
1390,0.005168
1391,0.005366
1392,0.004851
1393,0.005019
1394,0.004792
1395,0.005168
1396,0.004881
1397,0.005316
1398,0.005
1399,0.005475
1400,0.004871
1401,0.00494
1402,0.004752
1403,0.005188
1404,0.005198
1405,0.00492
1406,0.005039
1407,0.00491
1408,0.005
1409,0.005306
1410,0.004881
1411,0.005247
1412,0.004722
1413,0.005099
1414,0.004643
1415,0.005108
1416,0.005019
1417,0.005079
1418,0.004782
1419,0.005237
1420,0.005059
1421,0.004841
1422,0.005029
1423,0.00499
1424,0.005603
1425,0.004871
1426,0.004712
1427,0.004752
1428,0.004742
1429,0.004623
1430,0.004703
1431,0.004851
1432,0.00492
1433,0.004782
1434,0.004475
1435,0.004356
1436,0.005009
1437,0.004792
1438,0.004485
1439,0.004564
1440,0.004227
1441,0.004574
1442,0.004802
1443,0.004514
1444,0.004475
1445,0.004703
1446,0.004663
1447,0.004871
1448,0.00499
1449,0.00493
1450,0.004584
1451,0.004505
1452,0.004455
1453,0.004742
1454,0.004316
1455,0.004881
1456,0.004495
1457,0.004881
1458,0.004524
1459,0.004613
1460,0.004604
1461,0.004564
1462,0.004386
1463,0.004574
1464,0.004514
1465,0.004465
1466,0.004435
1467,0.004514
1468,0.004445
1469,0.004505
1470,0.004069
1471,0.004336
1472,0.004356
1473,0.00399
1474,0.004188
1475,0.004128
1476,0.00395
1477,0.004079
1478,0.004168
1479,0.004465
1480,0.004069
1481,0.004584
1482,0.004524
1483,0.004346
1484,0.004118
1485,0.004208
1486,0.004217
1487,0.004336
1488,0.004297
1489,0.003851
1490,0.004257
1491,0.00398
1492,0.00398
1493,0.003792
1494,0.00399
1495,0.004297
1496,0.004277
1497,0.003851
1498,0.004217
1499,0.003831
1500,0.003871
1501,0.003534
1502,0.004158
1503,0.00396
1504,0.003871
1505,0.003841
1506,0.004336
1507,0.004019
1508,0.003911
1509,0.004128
1510,0.003891
1511,0.003782
1512,0.003584
1513,0.003841
1514,0.003722
1515,0.003762
1516,0.003653
1517,0.00395
1518,0.00394
1519,0.004019
1520,0.003703
1521,0.004099
1522,0.003802
1523,0.003673
1524,0.003663
1525,0.003683
1526,0.003762
1527,0.003623
1528,0.003584
1529,0.003762
1530,0.003633
1531,0.003465
1532,0.003891
1533,0.003604
1534,0.00394
1535,0.00398
1536,0.003267
1537,0.003782
1538,0.003614
1539,0.004277
1540,0.003326
1541,0.003307
1542,0.003257
1543,0.003673
1544,0.003544
1545,0.003683
1546,0.003485
1547,0.003178
1548,0.003247
1549,0.003257
1550,0.003554
1551,0.003089
1552,0.003128
1553,0.003524
1554,0.003396
1555,0.003604
1556,0.003346
1557,0.003099
1558,0.003346
1559,0.003554
1560,0.003435
1561,0.003376
1562,0.003445
1563,0.003495
1564,0.003445
1565,0.003406
1566,0.003683
1567,0.003148
1568,0.003317
1569,0.003643
1570,0.003346
1571,0.003128
1572,0.003178
1573,0.003029
1574,0.003475
1575,0.003198
1576,0.003455
1577,0.003277
1578,0.003218
1579,0.002762
1580,0.003336
1581,0.00295
1582,0.003267
1583,0.003119
1584,0.003416
1585,0.00295
1586,0.002881
1587,0.003208
1588,0.003297
1589,0.003227
1590,0.002792
1591,0.00294
1592,0.003029
1593,0.002831
1594,0.003198
1595,0.00297
1596,0.003158
1597,0.003128
1598,0.002624
1599,0.00299
1600,0.00298
1601,0.002921
1602,0.003089
1603,0.002782
1604,0.002851
1605,0.002851
1606,0.003069
1607,0.002505
1608,0.002673
1609,0.002851
1610,0.002851
1611,0.002742
1612,0.00302
1613,0.002505
1614,0.002673
1615,0.002881
