Bin,fraction of sites
1871,0.001634
1872,0.001624
1873,0.001495
1874,0.001584
1875,0.001366
1876,0.001495
1877,0.001584
1878,0.001426
1879,0.001445
1880,0.001495
1881,0.001475
1882,0.001445
1883,0.001535
1884,0.001614
1885,0.001396
1886,0.001624
1887,0.001445
1888,0.001604
1889,0.001594
1890,0.001238
1891,0.001515
1892,0.001525
1893,0.001426
1894,0.001416
1895,0.001554
1896,0.001465
1897,0.001287
1898,0.001584
1899,0.001554
1900,0.001386
1901,0.001366
1902,0.001317
1903,0.001337
1904,0.001525
1905,0.001416
1906,0.001337
1907,0.001416
1908,0.001297
1909,0.001445
1910,0.001277
1911,0.001643
1912,0.001624
1913,0.001505
1914,0.001505
1915,0.001277
1916,0.001287
1917,0.001297
1918,0.001386
1919,0.001475
1920,0.001426
1921,0.001327
1922,0.001317
1923,0.001554
1924,0.001574
1925,0.001366
1926,0.001485
1927,0.001436
1928,0.001465
1929,0.001148
1930,0.001445
1931,0.001426
1932,0.001277
1933,0.001594
1934,0.001366
1935,0.001465
1936,0.001604
1937,0.001505
1938,0.001287
1939,0.001396
1940,0.001247
1941,0.001386
1942,0.001168
1943,0.001505
1944,0.001297
1945,0.001366
1946,0.001317
1947,0.001406
1948,0.001277
1949,0.001455
1950,0.001307
1951,0.001366
1952,0.001287
1953,0.001505
1954,0.001099
1955,0.001356
1956,0.001475
1957,0.001297
1958,0.001346
1959,0.001406
1960,0.001356
1961,0.001139
1962,0.001287
1963,0.001238
1964,0.001218
1965,0.001356
1966,0.001515
1967,0.001238
1968,0.001307
1969,0.001346
1970,0.001267
1971,0.001416
1972,0.001386
1973,0.001277
1974,0.001297
1975,0.001139
1976,0.001346
1977,0.001267
1978,0.001218
1979,0.001297
1980,0.001297
1981,0.001049
1982,0.001416
1983,0.001277
1984,0.001148
1985,0.001277
1986,0.001139
1987,0.001178
1988,0.001297
1989,0.001307
1990,0.001188
1991,0.001356
1992,0.001297
1993,0.001287
1994,0.001445
1995,0.001247
1996,0.001208
1997,0.001386
1998,0.001297
1999,0.001228
2000,0.000891
2001,1.094904
