"","crossID","Order_1","Year","plotNo","Region","plotNo_Numeric","date","GrowDays","Pain2Plant","femaPar","femaParLoc","malePar","maleParLoc","Crosses","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","popChk"
"125","SL18-UCONN-126",125,"2019","126","GOM","126","5_30_2019",124,NA,"SL18-OI-15-FG1","OI","SL18-LD-10-MG1","LD","SL18-OI-15-F1 / SL18-LD-10-M1","1",1,"3","TBD","3",1,0.14,0.41,0.341463415,15.51,0.02,0,"ES"
"126","SL18-UCONN-127",126,"2019","127","GOM","127","5_30_2019",124,NA,"SL18-OI-15-FG1","OI","SL18-NL-5-MG1","NL","SL18-OI-15-F1 / SL18-NL-5-M1","1",4,"1","TBD","8",3,1,0.74,1.351351351,9.31,0.09,200,"ES"
"127","SL18-UCONN-128",127,"2019","128","GOM","128","5_30_2019",124,NA,"SL18-OI-15-FG1","OI","SL18-SF-15-MG1","SF","SL18-OI-15-F1 / SL18-SF-15-M1","3",4,"1","TBD","8",3,4.42,0.92,4.804347826,9.21,0.41,340,"ES"
"128","SL18-UCONN-129",128,"2019","129","GOM","129","5_30_2019",124,NA,"SL18-OI-16-FG1","OI","SA18-CB-4-MG1","CB","SL18-OI-16-F1 / SA18-CB-4-M1","1",1,"3","TBD","4",1,0.6,0.78,0.769230769,11.32,0.07,60,"ES"
"13","SL18-UCONN-13",13,"2019","13","GOM","13","5_30_2019",124,NA,"SL18-LD-10-FG3","LD","SL18-SF-19-MG1","SF","SL18-LD-10-F3 / SL18-SF-19-M1","1",1,"2","TBD","6",1,0.96,0.91,1.054945055,10.3,0.1,40,"ES"
"130","SL18-UCONN-131",130,"2019","131","GOM","131","5_30_2019",124,NA,"SL18-OI-16-FG1","OI","SL18-LL-9-MG3","LL","SL18-OI-16-F1 / SL18-LL-9-M3","1",1,"1","TBD","1",1,0.09,0.7,0.128571429,14.46,0.01,0,"ES"
"131","SL18-UCONN-132",131,"2019","132","GOM","132","5_30_2019",124,NA,"SL18-OI-16-FG1","OI","SL18-NL-2-MG1","NL","SL18-OI-16-F1 / SL18-NL-2-M1","1",1,"1","TBD","3",1,0.21,0.76,0.276315789,9.11,0.02,0,"ES"
"132","SL18-UCONN-133",132,"2019","133","GOM","133","5_31_2019",125,NA,"SL18-OI-16-FG1","OI","SL18-OI-7-MG1","OI","SL18-OI-16-F1 / SL18-OI-7-M1","1",1,"3","TBD","7",1,0.35,1,0.35,10.51,0.04,0,"ES"
"133","SL18-UCONN-134",133,"2019","134","GOM","134","5_31_2019",125,NA,"SL18-OI-16-FG2","OI","SA18-CB-3-MG3","CB","SL18-OI-16-F2 / SA18-CB-3-M3","1",1,"3","TBD","7",1,0.07,1,NA,NA,NA,0,"ES"
"135","SL18-UCONN-136",135,"2019","136","GOM","136","5_30_2019",124,NA,"SL18-OI-16-FG3","OI","SA18-CB-4-MG3","CB","SL18-OI-16-F3 / SA18-CB-4-M3","2",4,"3","TBD","2",3,4.84,0.81,5.975308642,8.75,0.42,480,"ES"
"136","SL18-UCONN-137",136,"2019","137","GOM","137","5_30_2019",124,NA,"SL18-OI-16-FG3","OI","SA18-CB-5-MG3","CB","SL18-OI-16-F3 / SA18-CB-5-M3","1",4,"1","TBD","9",2,0.55,0.92,0.597826087,12.34,0.07,140,"ES"
"137","SL18-UCONN-138",137,"2019","138","GOM","138","5_29_2019",123,NA,"SL18-OI-16-FG3","OI","SL18-LD-10-MG3","LD","SL18-OI-16-F3 / SL18-LD-10-M3","1",1,"2","TBD","2",1,0.42,0.77,0.545454545,3.18,0.01,0,"ES"
"138","SL18-UCONN-139",138,"2019","139","GOM","139","5_29_2019",123,NA,"SL18-OI-16-FG3","OI","SL18-LD-1-MG2","LD","SL18-OI-16-F3 / SL18-LD-1-M2","1",1,"2","TBD","5",1,0.15,0.91,0.164835165,8.67,0.01,0,"ES"
"14","SL18-UCONN-14",14,"2019","14","GOM","14","5_30_2019",124,NA,"SL18-LD-13-FG2","LD","SL18-LD-13-MG2","LD","SL18-LD-13-F2 / SL18-LD-13-M2","3",4,"1","TBD","5",3,3.27,0.93,3.516129032,9.17,0.3,420,"ES"
"139","SL18-UCONN-140",139,"2019","140","GOM","140","5_30_2019",124,NA,"SL18-OI-16-FG3","OI","SL18-LD-3-MG2","LD","SL18-OI-16-F3 / SL18-LD-3-M2","1",1,"1","TBD","3",3,2.27,0.96,2.364583333,8.17,0.19,200,"ES"
"140","SL18-UCONN-141",140,"2019","141","GOM","141","5_31_2019",125,NA,"SL18-OI-16-FG3","OI","SL18-NL-6-MG1","NL","SL18-OI-16-F3 / SL18-NL-6-M1","1",1,"3","TBD","8",3,2.29,0.93,2.462365591,9.33,0.21,140,"ES"
"141","SL18-UCONN-142",141,"2019","142","GOM","142","5_30_2019",124,NA,"SL18-OI-16-FG3","OI","SL18-SF-17-MG2","SF","SL18-OI-16-F3 / SL18-SF-17-M2","3",4,"1","TBD","2",3,3.8,0.76,5,9.06,0.34,620,"ES"
"142","SL18-UCONN-143",142,"2019","143","GOM","143","5_29_2019",123,NA,"SL18-OI-17-FG1","OI","SL18-SF-13-MG2","SF","SL18-OI-17-F1 / SL18-SF-13-M2","3",4,"2","TBD","3",3,5.39,0.84,6.416666667,8,0.43,440,"ES"
"143","SL18-UCONN-145",143,"2019","145","GOM","145","5_30_2019",124,NA,"SL18-OI-17-FG2","OI","SL18-SF-17-MG2","SF","SL18-OI-17-F2 / SL18-SF-17-M2","1",1,"1","TBD","2",2,0.5,0.77,0.649350649,8.31,0.04,40,"ES"
"144","SL18-UCONN-146",144,"2019","146","GOM","146","5_30_2019",124,NA,"SL18-OI-18-FG1","OI","SL18-OI-9-MG3","OI","SL18-OI-18-F1 / SL18-OI-9-M3","3",4,"1","TBD","1",3,3.93,0.94,4.180851064,8.07,0.32,300,"ES"
"145","SL18-UCONN-147",145,"2019","147","GOM","147","5_30_2019",124,NA,"SL18-OI-18-FG2","OI","SA18-CB-7-MG1","CB","SL18-OI-18-F2 / SA18-CB-7-M1","2",1,"2","TBD","6",3,3.34,0.97,3.443298969,9.98,0.33,160,"ES"
"146","SL18-UCONN-148",146,"2019","148","GOM","148","5_31_2019",125,NA,"SL18-OI-18-FG2","OI","SL18-LD-10-MG1","LD","SL18-OI-18-F2 / SL18-LD-10-M1","2",1,"4","TBD","9",3,3.67,0.92,3.989130435,8.44,0.31,300,"ES"
"147","SL18-UCONN-149",147,"2019","149","GOM","149","5_30_2019",124,NA,"SL18-OI-18-FG2","OI","SL18-LD-9-MG1","LD","SL18-OI-18-F2 / SL18-LD-9-M1","1",1,"3","TBD","1",3,2.53,0.91,2.78021978,10.89,0.28,220,"ES"
"15","SL18-UCONN-15",15,"2019","15","GOM","15","5_29_2019",123,NA,"SL18-LD-1-FG1","LD","SA18-CB-2-MG2","CB","SL18-LD-1-F1 / SA18-CB-2-M2","1",1,"2","TBD","8",1,0.62,0.78,0.794871795,10.45,0.06,0,"ES"
"148","SL18-UCONN-150",148,"2019","150","GOM","150","5_31_2019",125,NA,"SL18-OI-18-FG2","OI","SL18-NL-2-MG2","NL","SL18-OI-18-F2 / SL18-NL-2-M2","2",1,"4","TBD","3",3,2.34,0.88,2.659090909,9.06,0.21,300,"ES"
"149","SL18-UCONN-151",149,"2019","151","GOM","151","5_29_2019",123,NA,"SL18-OI-18-FG2","OI","SL18-LD-2-MG3","SF","SL18-OI-18-F2 / SL18-LD-2-M3","1",1,"2","TBD","8",2,0.83,0.82,1.012195122,9.34,0.08,80,"ES"
"150","SL18-UCONN-152",150,"2019","152","GOM","152","5_30_2019",124,NA,"SL18-OI-18-FG3","OI","SL18-LL-9-MG1","LL","SL18-OI-18-F3 / SL18-LL-9-M1","1",1,"1","TBD","8",2,0.82,1,0.82,10.4,0.09,40,"ES"
"151","SL18-UCONN-153",151,"2019","153","GOM","153","5_31_2019",125,NA,"SL18-OI-18-FG3","OI","SL18-OI-7-MG1","OI","SL18-OI-18-F3 / SL18-OI-7-M1","2",4,"4","TBD","1",3,2.74,0.86,3.186046512,9.67,0.26,180,"ES"
"152","SL18-UCONN-154",152,"2019","154","GOM","154","5_30_2019",124,NA,"SL18-OI-18-FG5","OI","SA18-CB-4-MG3","CB","SL18-OI-18-F5 / SA18-CB-4-M3","1",1,"3","TBD","4",2,1.31,0.77,1.701298701,13.82,0.18,100,"ES"
"153","SL18-UCONN-155",153,"2019","155","GOM","155","5_31_2019",125,NA,"SL18-OI-18-FG5","OI","SL18-LD-2-MG1","LD","SL18-OI-18-F5 / SL18-LD-2-M1","2",1,"3","TBD","6",3,3.02,0.98,3.081632653,9.23,0.28,280,"ES"
"154","SL18-UCONN-156",154,"2019","156","GOM","156","5_31_2019",125,NA,"SL18-OI-18-FG5","OI","SL18-NL-7-MG1","NL","SL18-OI-18-F5 / SL18-NL-7-M1","2",1,"3","TBD","7",1,0.47,0.67,0.701492537,10.73,0.05,0,"ES"
"155","SL18-UCONN-157",155,"2019","157","GOM","157","5_31_2019",125,NA,"SL18-OI-18-FG5","OI","SL18-SF-15-MG2","SF","SL18-OI-18-F5 / SL18-SF-15-M2","2",4,"3","TBD","9",3,4.94,0.92,5.369565217,10.32,0.51,220,"ES"
"156","SL18-UCONN-158",156,"2019","158","GOM","158","5_30_2019",124,NA,"SL18-OI-18-FG6","OI","SA18-CB-1-MG2","CB","SL18-OI-18-F6 / SA18-CB-1-M2","2",1,"1","TBD","6",3,3.65,0.87,4.195402299,7.39,0.27,280,"ES"
"157","SL18-UCONN-159",157,"2019","159","GOM","159","5_31_2019",125,NA,"SL18-OI-18-FG6","OI","SL18-NL-6-MG1","NL","SL18-OI-18-F6 / SL18-NL-6-M1","2",1,"3","TBD","8",3,1.43,0.86,1.662790698,9.73,0.14,240,"ES"
"16","SL18-UCONN-16",16,"2019","16","GOM","16","5_31_2019",125,NA,"SL18-LD-1-FG1","LD","SL18-LD-10-MG3","LD","SL18-LD-1-F1 / SL18-LD-10-M3","2",1,"3","TBD","9",1,0.6,0.85,0.705882353,12.57,0.08,100,"ES"
"158","SL18-UCONN-160",158,"2019","160","GOM","160","5_29_2019",123,NA,"SL18-OI-18-FG6","OI","SL18-SF-17-MG1","SF","SL18-OI-18-F6 / SL18-SF-17-M1","1",1,"2","TBD","2",1,0.75,0.82,0.914634146,9.61,0.07,100,"ES"
"159","SL18-UCONN-161",159,"2019","161","GOM","161","5_31_2019",125,NA,"SL18-OI-2-FG2","OI","SA18-CB-7-MG2","CB","SL18-OI-2-F2 / SA18-CB-7-M2","1",1,"3","TBD","6",1,0.07,0.8,0.0875,9.31,0.01,0,"ES"
