pedigree,gpSex,WWP,DWpM,PDW,BDns,BLen,BMax,BThk,SLen,SDia
SL18-OI-18-FG6xSL18-NL-6-MG1,NA,-0.004365313,0.003429162,-1.13E-09,16.57694114,-0.020831609,-0.359212125,-0.192587864,0.073770068,0.442994207
SL18-OI-2-FG2xSL18-LD-1-MG2,NA,-0.352569912,-0.071131433,3.26E-09,-64.04241163,-0.01352312,-0.023337596,-0.058581008,0.150395083,-0.261351427
SL18-LD-1-FG1xSL18-NL-2-MG2,NA,-0.287979014,-0.061483418,1.11E-09,-3.357988545,0.016714693,-0.145373151,-0.559281548,0.502802685,-0.070325177
SL18-OI-2-FG3xSL18-NL-9-MG1,NA,-0.404937766,-0.085033409,-3.28E-09,-45.31360941,-0.004817216,0.112531377,-0.115404177,0.033036648,-0.017702907
SL18-OI-2-FG3xSL18-SF-17-MG1,NA,-0.109570163,-0.010549202,1.92E-09,-63.85434234,0.005412364,0.268953543,-0.181409652,0.069923261,-0.277098969
SL18-OI-6-FG1xSA18-CB-2-MG1,NA,-0.201934199,-0.051565293,8.38E-11,-59.27360377,-0.026044102,0.138219555,-0.280467119,-0.396772648,-0.40089415
SL18-OI-6-FG1xSA18-CB-4-MG1,NA,-0.040591155,-0.043710301,-3.67E-09,-74.11848734,-0.046721979,-0.312597724,-0.120608711,-0.600718734,-0.474697306
SL18-OI-6-FG1xSL18-LD-13-MG2,NA,-0.096571096,-0.031211224,1.17E-09,-21.73037432,-0.036012355,0.024800175,-0.280398964,-0.494801585,0.062880055
SL18-OI-6-FG1xSL18-LD-2-MG1,NA,-0.269973749,-0.058977383,3.81E-09,-71.795506,-0.029936977,-0.017520014,-0.20438396,-0.01011673,0.109893049
SL18-OI-6-FG1xSL18-LD-5-MG1,NA,-0.093582256,-0.065503471,-1.44E-09,-66.4462647,-0.022575652,-0.058908214,0.060647527,-0.2908521,-0.00139869
SL18-LD-1-FG1xSL18-OI-18-MG1,NA,-0.324720927,-0.05283546,4.92E-09,-38.95469086,-0.004756551,-0.194919457,-0.205353881,0.183889305,0.064035133
SL18-OI-6-FG1xSL18-NL-9-MG1,NA,-0.331556326,-0.088162256,-5.58E-09,-57.20785432,-0.03496647,-0.049926004,-0.036921583,-0.302637833,0.019816777
SL18-OI-6-FG1xSL18-SF-15-MG1,NA,0.151827713,0.012657666,-3.09E-09,-11.36756718,-0.056877451,-0.154697481,-0.309651855,-0.167843956,-0.710554458
SL18-OI-6-FG1xSL18-SF-19-MG1,NA,-0.111254366,-0.020935053,4.92E-09,-4.882165528,-0.028791377,-0.007685585,-0.151290336,-0.142575306,0.13381443
SL18-OI-7-FG3xSA18-CB-2-MG3,NA,-0.122393874,-0.021439219,4.68E-10,-4.553283911,0.010246518,0.070423991,0.311593315,0.029946346,0.418826811
SL18-OI-9-FG1xSL18-LL-9-MG2,NA,-0.061436871,-0.029417999,-2.39E-09,0.511485462,0.024562931,-0.251571595,0.241047937,0.094720213,-0.185678923
SL18-SF-13-FG1xSL18-LL-9-MG3,NA,-0.08805935,6.27E-05,1.60E-09,-46.12608073,0.012147299,0.100880437,0.287720556,0.232215851,0.346290564
SL18-LD-1-FG2xSA18-CB-4-MG3,NA,0.060153899,0.002113391,-2.99E-11,-17.02593499,-0.008002196,0.040205119,0.078490774,0.103914995,0.241651903
SL18-SF-17-FG1xSL18-LL-9-MG1,NA,-0.24371039,-0.045235189,3.42E-10,-67.53343578,0.028885002,0.146542065,0.387300429,-0.081944392,0.052323084
SL18-SF-17-FG3xSA18-CB-10-MG1,NA,0.173050909,0.028808866,-2.53E-09,14.03595337,0.01911299,0.074466147,0.189128616,-0.326052952,0.199424294
SL18-SF-17-FG3xSA18-CB-3-MG3,NA,0.205497705,0.016123401,-4.13E-09,8.655157505,0.043846532,0.472319042,-0.145670696,-0.228308609,0.05206142
SL18-SF-17-FG3xSL18-LD-2-MG1,NA,-0.148350465,-0.019546429,3.46E-09,-18.27128733,0.0267518,0.277394953,-0.067852205,0.128006825,0.370764908
SL18-SF-17-FG3xSL18-NL-10-MG2,NA,-0.093425412,-0.018034903,-2.55E-09,17.96502164,0.011944268,0.280870159,-0.095171612,-0.136477965,0.074940248
SL18-SF-17-FG3xSL18-NL-2-MG3,NA,0.008610833,-0.002447245,-2.56E-09,-14.36335327,0.035364775,0.42490241,0.069805953,-0.033882117,0.184528235
SL18-SF-17-FG3xSL18-NL-9-MG1,NA,-0.209933042,-0.048731302,-5.93E-09,-3.683635641,0.021722243,0.244989616,0.09961716,-0.164511963,0.280692834
SL18-SF-17-FG3xSL18-OI-7-MG1,NA,0.080055569,0.010593033,-2.15E-09,71.66960732,-0.002894755,0.183753508,0.175372074,0.06422527,0.114413505
SL18-SF-17-FG3xSL18-OI-9-MG3,NA,0.129520043,0.018323337,-2.02E-09,27.53929785,0.014250711,0.180929912,-0.056504687,-0.353537569,-0.759446028
SA18-CB-10-FG2xSL18-LL-9-MG1,NA,-0.097044553,-0.018275892,-1.65E-10,-52.71739062,0.022359238,-0.018619934,0.274196809,0.150215699,0.089675813
SL18-LD-1-FG2xSL18-SF-13-MG3,NA,-0.10679504,-0.008490086,3.62E-09,-6.753234747,0.012544076,0.109773924,0.253896129,0.27064475,0.582297403
SL18-LD-1-FG2xSL18-SF-15-MG1,NA,0.187364143,0.041403963,7.95E-11,32.56992415,-0.014751554,0.139057004,0.18316452,0.37498047,0.023363928
SL18-LD-1-FG3xSL18-NL-5-MG1,NA,-0.407908605,-0.071404447,3.39E-09,-12.49870858,0.008533939,-0.015655709,-0.048085482,-0.062970065,0.029189913
SL18-LD-1-FG3xSL18-OI-11-MG2,NA,-0.24769268,-0.04499035,4.25E-09,-30.47552227,0.004110945,0.336375914,-0.161241803,0.296489638,0.021537678
SL18-LD-1-FG3xSL18-OI-15-MG1,NA,0.011534421,0.01337642,3.18E-09,13.04934613,-0.017551353,0.208976253,0.389930697,-0.176133075,-0.031870673
SL18-LD-1-FG3xSL18-OI-16-MG1,NA,-0.15073033,-0.027579093,3.55E-09,9.33914425,-0.029934335,0.037907578,-0.025622014,0.036912733,-0.070818257
SL18-LD-1-FG3xSL18-OI-6-MG2,NA,-0.216659529,-0.042910378,3.92E-09,-51.46070745,-0.039470386,-0.087153409,-0.065354185,-0.412319976,-0.268421159
SL18-LD-1-FG3xSL18-OI-7-MG1,NA,-0.158179311,-0.029282009,2.92E-09,51.68570962,-0.029468182,0.127759209,0.309437782,0.262889677,-0.049701295
SL18-LD-1-FG3xSL18-OI-9-MG3,NA,-0.108714837,-0.021551704,3.05E-09,7.555400153,-0.012322754,0.124936878,0.077569918,-0.154871192,-0.923540169
SA18-CB-4-FG3xSA18-CB-4-MG3,NA,0.174083228,0.00928449,-4.09E-09,-32.56646511,-0.019266427,-0.273724883,-0.19203216,-0.013124915,-0.189314938
SL18-LD-1-FG3xSL18-NL-9-MG2,NA,-0.278896591,-0.057034662,1.15E-09,-9.090944937,0.004145567,0.147330502,-0.24829564,0.01291818,0.247190272
SL18-LD-1-FG3xSL18-OI-15-MG2,NA,-0.046284877,-0.002101231,3.70E-09,6.434312355,-0.030462716,0.06703645,-0.096954282,-0.185742258,-0.074349566
SL18-LD-2-FG2xSA18-CB-3-MG3,NA,-0.058766814,-0.008128135,4.83E-09,-46.52765503,0.045956422,0.235103498,-0.033261035,0.076273024,-0.093916367
SL18-LD-2-FG2xSL18-LL-9-MG2,NA,-0.295778915,-0.046956013,5.78E-09,-62.51637091,0.048695567,-0.282427047,0.585632731,0.462977672,0.32329353
SL18-LD-2-FG2xSL18-NL-9-MG1,NA,-0.474197562,-0.072982837,3.03E-09,-58.86644818,0.023832104,0.007772287,0.212029111,0.140066701,0.134707939
SL18-LD-2-FG2xSL18-SF-19-MG1,NA,-0.253895602,-0.005755634,1.35E-08,-6.540759388,0.030007293,0.050010647,0.097646203,0.300129168,0.248712402
SL18-LD-3-FG1xSL18-NL-9-MG1,NA,-0.397084296,-0.078075433,-1.88E-09,-36.47058365,0.00120425,0.045192785,0.057990259,-0.169671623,0.204047883
SL18-LD-3-FG1xSL18-SF-19-MG2,NA,-0.069932585,-0.008056508,5.59E-09,18.36938134,0.003655476,0.144067156,0.140304268,-0.297208705,0.230141454
SL18-LD-3-FG2xSA18-CB-2-MG3,NA,-0.113821945,-0.034008365,1.53E-09,-40.69302242,0.021693623,0.299707006,-0.219420463,0.14857091,-0.038350616
SL18-LD-3-FG2xSL18-LL-9-MG2,NA,-0.123050761,-0.051274405,-8.04E-10,-17.69405546,0.036072858,-0.0501703,0.020094048,0.346602038,0.345845513
