INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS
SL-JS-5-FG-1	5518006	0	1328204	0.240704
SL-JS-5-MG-1	5518006	0	2771094	0.502191
SL-LD-13-Mg-3	5518006	0	1156137	0.209521
SL-LD-13-FG-2	5518006	0	1454741	0.263635
SL-LD-13-FG-1	5518006	0	1669812	0.302611
SL-LD-2-FG-3	5518006	0	679367	0.123118
SL-LD-9-FG-1	5518006	0	1535484	0.278268
SL-LD-3-MG-2	5518006	0	733767	0.132977
SL-LL-9-FG-2	5518006	0	3090640	0.560101
SL-TI-3-MG-2	5518006	0	490430	0.0888781
SL-LL-9-FG-1	5518006	0	585671	0.106138
SL-NC-12-FG-2	5518006	0	1000943	0.181396
SL-NC-1-FG-3	5518006	0	622626	0.112835
SL-NC-5-FG-2	5518006	0	1384309	0.250871
SL-NC-8-FG-1	5518006	0	2277265	0.412697
SL-NC-8-FG-2	5518006	0	1548283	0.280587
SL-NC-10-MG-1	5518006	0	478077	0.0866394
SL-NC-11-FG-3	5518006	0	651446	0.118058
SL-NL-2-FG-1	5518006	0	2390065	0.433139
SL-NL-2-FG-3	5518006	0	1368414	0.247991
SL-NL-2-MG-3	5518006	0	469454	0.0850767
SL-NL-3-FG-1	5518006	0	1576035	0.285617
SL-NL-3-FG-3	5518006	0	1191536	0.215936
SL-NL-3-MG-2	5518006	0	610399	0.110619
SL-NL-5-MG-2	5518006	0	330931	0.0599729
SL-NL-6-FG-1	5518006	0	4843013	0.877674
SL-NL-6-FG-3	5518006	0	723080	0.13104
SL-NL-6-MG-1	5518006	0	648369	0.117501
SL-NL-7-MG-2	5518006	0	631547	0.114452
SL-NL-9-MG-3	5518006	0	400118	0.0725113
SL-NL-9-MG-1	5518006	0	369317	0.0669294
SL-NL-6-MG-2	5518006	0	2633589	0.477272
SL-OD-3-MG-1	5518006	0	227144	0.0411641
SL-OD-5-MG-1	5518006	0	404524	0.0733098
SL-OD-6-MG-1	5518006	0	252347	0.0457316
SL-OI-11-FG-3	5518006	0	1889420	0.34241
SL-OI-15-FG-1	5518006	0	2936431	0.532154
SL-OI-15-MG-2	5518006	0	429180	0.0777781
SL-OI-16-FG-1	5518006	0	1065995	0.193185
SL-OI-16-FG-3	5518006	0	1970866	0.35717
SL-OI-16-MG-1	5518006	0	291192	0.0527712
SL-OI-17-FG-1	5518006	0	1716197	0.311018
SL-OI-17-FG-4	5518006	0	2561693	0.464243
SL-OI-18-FG-1	5518006	0	3472042	0.62922
SL-OI-18-FG-2	5518006	0	1205046	0.218384
SL-OI-18-MG-1	5518006	0	572714	0.10379
SL-OI-2-FG-2	5518006	0	263794	0.047806
SL-OI-2-FG-3	5518006	0	1374506	0.249095
SL-OI-4-FG-3	5518006	0	537922	0.0974849
SL-OI-4-MG-1	5518006	0	466030	0.0844562
SL-OI-5-MG-2	5518006	0	477623	0.0865572
SL-OI-6-FG-1	5518006	0	1091459	0.1978
SL-OI-6-MG-2	5518006	0	477135	0.0864687
SL-OI-7-FG-1	5518006	0	3486971	0.631926
SL-OI-7-MG-1	5518006	0	498637	0.0903654
SL-OI-9-FG-1	5518006	0	464791	0.0842317
SL-OI-9-MG-3	5518006	0	386883	0.0701128
SL-PI-1-FG-10	5518006	0	736526	0.133477
SA-CB-10-FG-1	5518006	0	1320423	0.239294
SL-PI-1-MG-11	5518006	0	289814	0.0525215
SL-PI-1-MG-3	5518006	0	335553	0.0608106
SL-SF-13-MG-11	5518006	0	322746	0.0584896
SA-CB-5-FG-3	5518006	0	149273	0.027052
SL-SF-15-MG-1	5518006	0	426808	0.0773482
SL-SF-17-FG-2	5518006	0	2338467	0.423788
SL-SF-13-FG-2	5518006	0	957367	0.173499
SL-OD-10-FG-2	5518006	0	997608	0.180791
SL-TI-4-FG-1	5518006	0	935224	0.169486
SL-TI-3-MG-1	5518006	0	378149	0.06853
SL-TI-4-FG-2	5518006	0	811497	0.147063
SL-TI-5-MG-3	5518006	0	317037	0.057455
