pedigree gpSex index WWP DWpM PDW BDns BLen BMax BThk SLen SDia
510 SL18-OI-6-FG3xSL18-JS-6-MG1 NA 3.825 0.234 0.164 3.497 7.091 0.231 -0.005 0.503 0.95 0.398
329 SL18-CC-12-FG2xSL18-JS-6-MG1 NA 1.849 0.365 0.152 1.545 32.165 0.468 0.108 0.36 0.18 0.511
320 SL18-OI-6-FG3xSL18-CC-11-MG5 NA 1.849 0.84 0.277 1.295 86.709 -0.176 -0.217 0.585 0.999 0.756
296 SL18-OI-6-FG2xSL18-LD-2-MG2 NA 1.733 0.877 0.309 1.116 42.429 0.398 -0.137 -0.073 0.271 -0.471
260 SL18-CC-3-FG1xSL18-JS-6-MG3 NA 1.609 0.75 0.227 1.155 15.533 0.438 -0.19 0.001 0.433 0.251
286 SL18-OI-6-FG2xSA18-CB-4-MG2 NA 1.537 0.775 0.32 0.897 43.601 0.389 0.008 -0.013 0.12 -0.336
210 SA18-CB-2-FG3xSL18-CC-6-MG11 NA 1.202 0.407 0.122 0.958 11.352 -0.244 0.086 0.199 0.469 0.1
303 SL18-SF-17-FG2xSA18-CB-1-MG13 NA 1.177 0.621 0.147 0.884 14.82 0.387 -0.096 0.024 0.203 0.347
527 SL18-NL-2-FG2xSA18-CB-1-MG13 NA 1.047 -0.341 -0.101 1.249 -43.836 0.381 0.101 0.021 0.821 0.311
340 SL18-LD-9-FG4xSL18-OI-6-MG2 NA 0.999 0.38 0.105 0.788 47.637 -0.151 0.034 -0.007 0.19 0.443
400 SA18-CB-4-FG6xSL18-JS-6-MG3 NA 0.994 0.604 0.196 0.603 -8.319 0.444 0.002 0.094 0.739 0.289
385 SL18-OI-4-FG2xSA18-CB-7-MG2 NA 0.992 0.526 0.224 0.545 115.304 0.24 -0.069 -0.369 -0.15 -0.411
291 SL18-CC-3-FG2xSL18-OD-6-MG1 NA 0.949 0.815 0.238 0.473 50.884 -0.609 -0.029 0.708 0.732 -0.001
399 SL18-SF-17-FG2xSA18-CB-7-MG3 NA 0.929 0.881 0.244 0.441 46.673 0.052 -0.123 -0.175 -0.629 -0.386
254 SA18-CB-2-FG3xSL18-NC-9-MG1 NA 0.878 0.307 0.069 0.741 0.055 0.08 0.031 -0.202 0.554 -0.119
269 SL18-CC-3-FG2xSA18-CB-10-MG3 NA 0.872 0.466 0.201 0.469 37.728 -0.134 -0.215 0.277 0.475 -0.032
370 SL18-JS-6-FG3xSA18-CB-5-MG3 NA 0.855 -0.069 0.032 0.791 -45.219 0.071 -0.089 -0.177 -0.249 -0.098
342 SL18-CC-3-FG2xSL18-OI-11-MG3 NA 0.846 0.655 0.19 0.466 53.39 -0.266 -0.068 0.477 0.994 0.265
524 SL18-CC-3-FG1xSL18-OI-16-MG2 NA 0.828 0.172 0.065 0.697 22.72 0.13 -0.214 -0.297 -0.32 -0.143
378 SL18-CC-3-FG3xSL18-OD-6-MG3 NA 0.82 0.554 0.14 0.539 13.759 -0.172 0.045 -0.663 -0.85 -0.836
