Scenario,Model,Matrix,Data,densityBlades,wetWgtPlot,dryWgtPerM,percDryWgt
a,1,Amat,2019,0.213,0.352,0.34,0
a,1,Amat,2020,0.297,0.511,0.39,0.197
a,1,Amat,Both,0.117,0.47,0.468,0.022
b,2,Amat,2019,NA,0.208,0.138,0
b,2,Amat,2020,NA,0.353,0.255,0.195
b,2,Amat,Both,NA,0.368,0.376,0
c,2,Hmat,2019,NA,0.224,0.16,0
c,2,Hmat,2020,NA,0.368,0.276,0.182
c,2,Hmat,Both,NA,0.368,0.378,0
d,3,Hmat,2019,0.219,0.369,0.357,0.014
d,3,Hmat,Both,0.134,0.47,0.468,0.008
