rownames,pedigree,Category,Isolate_Sorus,index,WWP,DWpM,PDW,BDns,BLen,BMax,BThk,SLen,SDia
SL18.CC.12.FG3xSL18.OI.15.MG2,SL18-CC-12-FG3xSL18-OI-15-MG2,SL19-UCONN-S139,Yes,0.37048795,0.611241158,0.186725001,-0.002962051,35.25898971,0.003304331,0.083142122,-0.219983622,0.115959403,0.108776204
SL18.SF.13.FG2xSL18.JS.11.MG3,SL18-SF-13-FG2xSL18-JS-11-MG3,SL19-UCONN-S45,#N/A,0.367542656,0.572957941,0.182847775,0.001847105,24.6282286,0.011903953,-0.064098996,-0.009434255,0.590059184,0.230030786
SL18.CC.12.FG2xSL18.LL.9.MG4,SL18-CC-12-FG2xSL18-LL-9-MG4,SL19-UCONN-S77,#N/A,0.366374192,0.548365019,0.18095551,0.004463171,28.54695721,0.19160055,-0.130280456,-0.003972664,0.203076827,-0.019432057
SL18.CC.12.FG2xSL18.JS.6.MG1,SL18-CC-12-FG2xSL18-JS-6-MG1,SL19-UCONN-S214,#N/A,0.432752594,0.437499509,0.178402696,0.075947203,25.96811261,0.231192499,0.113128608,0.206440593,0.141626463,0.35540938
SA18.CB.9.FG1xSL18.JS.19.MG1,SA18-CB-9-FG1xSL18-JS-19-MG1,SL19-UCONN-S248,#N/A,0.357406374,0.563827483,0.170219418,0.016967538,-3.040688832,0.008348498,0.376455124,-0.571627094,-0.46638084,-0.878257991
SL18.CC.11.FG3xSL18.CC.3.MG1,SL18-CC-11-FG3xSL18-CC-3-MG1,SL19-UCONN-S12,#N/A,0.326880975,0.555276244,0.169554682,-0.01222839,50.40243476,-0.11465966,-0.072722378,0.222675538,-0.372959145,0.496855891
SA18.CB.9.FG1xSL18.JS.5.MG3,SA18-CB-9-FG1xSL18-JS-5-MG3,SL19-UCONN-S135,#N/A,0.347585759,0.474871669,0.168228857,0.011128046,3.803025778,0.275740098,0.143723679,-0.119952001,-0.071321942,-0.353815967
SL18.CC.3.FG3xSL18.OD.6.MG3,SL18-CC-3-FG3xSL18-OD-6-MG3,SL19-UCONN-S259,Yes,0.372008046,0.587696536,0.168206767,0.035594512,11.99479325,-0.126595231,0.070591334,-0.542472933,-0.704997283,-0.626748522
SL18.CC.5.FG2xSL18.NC.9.MG2,SL18-CC-5-FG2xSL18-NC-9-MG2,SL19-UCONN-S246,#N/A,0.321743597,0.624008454,0.163515573,-0.005287549,23.09677131,-0.227753637,0.173322109,0.236324303,0.37445173,0.372140819
SL18.OI.6.FG3xSL18.JS.6.MG1,SL18-OI-6-FG3xSL18-JS-6-MG1,SL19-UCONN-S44,Yes,0.472256621,0.264965038,0.159866044,0.152524534,4.829465996,0.107428412,-0.047821794,0.484463354,0.809501925,0.543278684
SL18.SF.17.FG2xSA18.CB.1.MG13,SL18-SF-17-FG2xSA18-CB-1-MG13,SL19-UCONN-S191,#N/A,0.361100451,0.60548322,0.158915441,0.043269569,8.386888964,0.239519241,-0.127840813,0.091659732,0.230621431,0.470859348
SL18.OI.17.FG4xSL18.CC.7.MG1,SL18-OI-17-FG4xSL18-CC-7-MG1,SL19-UCONN-S34,#N/A,0.252201621,0.426118801,0.148315658,-0.044429694,4.667892618,-0.143820092,0.010238346,0.488495283,0.66237947,1.073748286
SL18.CC.1.FG1xSL18.NC.15.MG3,SL18-CC-1-FG1xSL18-NC-15-MG3,SL19-UCONN-S240,#N/A,0.254090704,0.537431146,0.132833582,-0.01157646,78.50750305,-0.063941254,0.170847399,0.554944916,0.546766265,0.088194202
SL18.CC.5.FG3xSA18.CB.1.MG12,SL18-CC-5-FG3xSA18-CB-1-MG12,SL19-UCONN-S25,Yes,0.264935003,0.582191348,0.131193334,0.002548334,17.04711917,0.242918283,0.218513713,-0.181927756,0.3272224,0.183064237
SL18.CC.10.FG4xSL18.NC.2.MG2,SL18-CC-10-FG4xSL18-NC-2-MG2,SL19-UCONN-S90,Yes,0.254336297,0.324981433,0.12678819,0.000759917,2.965918413,-0.29331852,-0.07626592,0.325992754,-0.745567347,0.499686568
SL18.CC.11.FG3xSL18.JS.16.MG1,SL18-CC-11-FG3xSL18-JS-16-MG1,SL19-UCONN-S130,#N/A,0.211473402,0.459276421,0.123335295,-0.035197189,35.25348469,0.001481735,-0.023750435,-0.309556633,0.474562258,-0.234209724
SA18.CB.2.FG3xSL18.CC.6.MG11,SA18-CB-2-FG3xSL18-CC-6-MG11,SL19-UCONN-S107,Yes,0.313113815,0.40508448,0.122213026,0.068687762,3.825645322,-0.194067442,0.132819398,0.257805624,0.495086744,0.207127008
SL18.CC.1.FG1xSL18.CC.4.MG11,SL18-CC-1-FG1xSL18-CC-4-MG11,SL19-UCONN-S244,#N/A,0.23060615,0.557047462,0.117176514,-0.003746877,46.45091982,-0.335582689,0.297137534,-0.327049139,-0.596471225,-0.978061525
SA18.CB.5.FG4xSL18.CC.1.MG3,SA18-CB-5-FG4xSL18-CC-1-MG3,SL19-UCONN-S151,#N/A,0.232819111,0.395998392,0.11521423,0.002390651,-1.187754383,-0.538670112,-0.153723693,0.701082308,0.926149173,0.556510287
SL18.SF.13.FG2xSL18.JS.9.MG2,SL18-SF-13-FG2xSL18-JS-9-MG2,SL19-UCONN-S66,#N/A,0.22524133,0.455507404,0.111672305,0.00189672,17.3454706,0.268514153,-0.098723312,-0.512560565,-0.194746271,-0.540462343
SL18.SF.17.FG2xSL18.OI.4.MG3,SL18-SF-17-FG2xSL18-OI-4-MG3,SL19-UCONN-S2,#N/A,0.227434745,0.37029785,0.110064288,0.007306169,6.952375742,0.116342702,-0.237150348,0.185955981,0.410099385,0.475411338
SL18.CC.6.FG2xSL18.OI.14.MG1,SL18-CC-6-FG2xSL18-OI-14-MG1,SL19-UCONN-S26,#N/A,0.226855236,0.389948798,0.1076536,0.011548037,5.054491059,-0.050227105,0.123297363,-0.472617854,0.226669833,-0.302234537
SL18.NL.6.FG1xSL18.OI.14.MG2,SL18-NL-6-FG1xSL18-OI-14-MG2,SL18-UCONN-101,#N/A,0.164633092,0.45786172,0.102808124,-0.040983156,83.06162731,-0.000150515,-0.138886783,0.166119929,0.418062008,0.329653902
SL18.OI.15.FG2xSA18.CB.2.MG3,SL18-OI-15-FG2xSA18-CB-2-MG3,SL19-UCONN-S146,#N/A,0.214706202,0.372928464,0.099455304,0.015795594,2.010010595,0.029000519,0.288823577,0.146687834,-0.4288239,0.157593138
SL18.NL.6.FG1xSA18.CB.7.MG2,SL18-NL-6-FG1xSA18-CB-7-MG2,SL18-UCONN-95,#N/A,0.147790091,0.368587456,0.098642435,-0.049494779,105.4426098,-0.001246363,0.07774783,-0.104538747,-0.05212076,0.231532591
SL18.NL.6.FG1xSA18.CB.7.MG2.1,SL18-NL-6-FG1xSA18-CB-7-MG2,SL18-UCONN-95,#N/A,0.147790091,0.368587456,0.098642435,-0.049494779,105.4426098,-0.001246196,0.077746998,-0.104538365,-0.052117333,0.23154338
SL18.NL.6.FG1xSA18.CB.7.MG2.2,SL18-NL-6-FG1xSA18-CB-7-MG2,SL18-UCONN-95,#N/A,0.147790091,0.368587456,0.098642435,-0.049494779,105.4426098,-0.001246394,0.07774745,-0.104542581,-0.05211865,0.231527072
SL18.CC.12.FG3xSL18.OI.15.MG3,SL18-CC-12-FG3xSL18-OI-15-MG3,SL19-UCONN-S186,#N/A,0.174044172,0.378310676,0.093075789,-0.012107406,29.90537372,0.022748062,-0.002394657,0.031113366,-0.439545081,0.238922846
SL18.CC.3.FG1xSL18.JS.5.MG2,SL18-CC-3-FG1xSL18-JS-5-MG2,SL19-UCONN-S179,#N/A,0.167640559,0.340934298,0.09228988,-0.0169392,5.141215055,0.224259132,-0.165201979,-0.294398441,-0.512111632,-0.701696958
SL18.OI.4.FG2xSL18.JS.19.MG2,SL18-OI-4-FG2xSL18-JS-19-MG2,SL19-UCONN-S174,#N/A,0.173703921,0.278235296,0.090583067,-0.007462213,17.16690601,0.24669889,0.14942072,0.303633573,0.365329651,0.218746369
SL18.CC.5.FG3xSL18.JS.5.MG2,SL18-CC-5-FG3xSL18-JS-5-MG2,SL19-UCONN-S143,Yes,0.104400394,0.417652858,0.084350545,-0.064300695,2.096874547,0.212436394,0.283772246,-0.331995219,0.250185629,-0.382516187
SL18.NL.6.FG1xSA18.CB.3.MG3,SL18-NL-6-FG1xSA18-CB-3-MG3,SL18-UCONN-94,#N/A,0.083488392,0.369409249,0.084250397,-0.085012402,107.5077105,0.004453325,0.121876963,0.016256503,0.234774477,-0.17996762
SA18.CB.2.FG3xSL18.OI.2.MG2,SA18-CB-2-FG3xSL18-OI-2-MG2,SL19-UCONN-S158,Yes,0.252368382,0.259373877,0.08327669,0.085815002,-22.88536586,-0.005988115,-0.081909309,0.196966506,0.341944898,0.107878957
SL18.SF.17.FG3xSA18.CB.3.MG3,SL18-SF-17-FG3xSA18-CB-3-MG3,SL18-UCONN-193,#N/A,0.113877516,0.279489044,0.080384955,-0.046892394,31.83908759,0.05196128,0.37929894,0.029889163,0.134434146,0.092061873
SL18.OI.11.FG1xSL18.SF.15.MG2,SL18-OI-11-FG1xSL18-SF-15-MG2,SL18-UCONN-124,#N/A,0.118728687,0.458339767,0.080073631,-0.041418575,17.43687883,-0.032863297,0.0746885,0.185958598,0.498298567,0.55940097
SL18.CC.10.FG5xSA18.CB.4.MG3,SL18-CC-10-FG5xSA18-CB-4-MG3,SL19-UCONN-S245,#N/A,0.113274806,0.092605602,0.078547644,-0.043820481,5.934062061,-0.063275227,-0.012513371,0.28588766,0.176620535,-0.066037782
SL18.CC.8.FG2xSL18.JS.5.MG3,SL18-CC-8-FG2xSL18-JS-5-MG3,SL19-UCONN-S172,Yes,0.133983284,0.264262371,0.077196457,-0.02040963,8.585816034,0.291743255,-0.007195447,-0.051201241,-0.15991631,-0.537981413
SL18.CC.11.FG3xSL18.OI.5.MG2,SL18-CC-11-FG3xSL18-OI-5-MG2,SL19-UCONN-S22,#N/A,0.132840359,0.217203409,0.076265537,-0.019690716,39.30326139,-0.328525818,-0.363901741,0.476402769,0.775953704,0.694143922
SL18.CC.2.FG4xSA18.CB.10.MG3,SL18-CC-2-FG4xSA18-CB-10-MG3,SL19-UCONN-S222,#N/A,0.144245627,0.092243183,0.07519826,-0.006150893,15.54775534,-0.202589003,-0.313559677,0.140235897,0.52114492,0.46825385
SL18.CC.6.FG2xSL18.OI.11.MG4,SL18-CC-6-FG2xSL18-OI-11-MG4,SL19-UCONN-S42,Yes,0.153373218,0.426048338,0.074717007,0.003939204,14.77227339,-0.040520787,-0.029586819,-0.30528167,-0.114824926,-0.114621549
SL18.LD.9.FG4xSL18.OI.6.MG2,SL18-LD-9-FG4xSL18-OI-6-MG2,SL19-UCONN-S224,#N/A,0.213303741,0.253905888,0.073358748,0.066586244,-7.648456502,-0.054879941,0.073724681,-0.137502193,0.078360076,0.364838617
SL18.CC.5.FG2xSL18.NC.10.MG2,SL18-CC-5-FG2xSL18-NC-10-MG2,SL19-UCONN-S219,Yes,0.089787284,0.379748929,0.072118159,-0.054449034,23.98640873,-0.251633923,0.049975992,0.167830458,0.223386775,0.482761343
SL18.CC.5.FG2xSL18.NC.10.MG2.1,SL18-CC-5-FG2xSL18-NC-10-MG2,SL19-UCONN-S219,Yes,0.089787284,0.379748929,0.072118159,-0.054449034,23.98640873,-0.251633953,0.049976623,0.167841365,0.223401731,0.482788394
SL18.OI.9.FG4xSA18.CB.1.MG12,SL18-OI-9-FG4xSA18-CB-1-MG12,SL19-UCONN-S228,Yes,0.172361699,0.210291505,0.070928504,0.030504691,12.6007823,0.197129255,-0.257155506,0.182023507,0.47643102,0.48400323
SL18.NL.2.FG1xSA18.CB.1.MG2,SL18-NL-2-FG1xSA18-CB-1-MG2,SL18-UCONN-73,#N/A,0.137832757,0.385336331,0.06940342,-0.000974084,29.56049771,0.146651231,0.060377508,0.02897757,-0.191503648,-0.120481651
SA18.CB.10.FG1xSL18.SF.19.MG2,SA18-CB-10-FG1xSL18-SF-19-MG2,SL18-UCONN-1,#N/A,0.118541984,0.396433086,0.068710923,-0.018879863,46.23584412,-0.033034175,-0.247396291,0.373511965,0.256229866,-0.119981201
